longitude,latitude,population_range,ocean_proximity
-122.23,38.12,0-2000,NEAR BAY
-118.11,33.89,0-2000,<1H OCEAN
-122.32,37.95,0-2000,NEAR BAY
-121.02,37.61,0-2000,INLAND
-116.31,33.65,0-2000,INLAND
-117.24,34.15,0-2000,INLAND
-122.1,37.66,0-2000,NEAR BAY
-118.45,34.03,0-2000,<1H OCEAN
-121.31,38.71,2000-4000,INLAND
-117.98,34.04,0-2000,<1H OCEAN
-120.14,36.04,0-2000,INLAND
-117.96,33.65,0-2000,<1H OCEAN
-121.78,37.34,0-2000,<1H OCEAN
-117.81,33.73,0-2000,<1H OCEAN
-118.27,34.08,2000-4000,<1H OCEAN
-117.19,32.77,0-2000,NEAR OCEAN
-118.28,34.11,0-2000,<1H OCEAN
-122.13,37.66,0-2000,NEAR BAY
-117.36,33.97,0-2000,INLAND
-118.56,34.22,0-2000,<1H OCEAN
-120.21,36.98,0-2000,INLAND
-118.15,33.78,2000-4000,NEAR OCEAN
-121.42,38.6,0-2000,INLAND
-118.18,33.77,0-2000,NEAR OCEAN
-117.11,32.69,0-2000,NEAR OCEAN
-118.42,34.29,0-2000,<1H OCEAN
-118.74,34.05,2000-4000,NEAR OCEAN
-122.44,37.8,0-2000,NEAR BAY
-118.34,34.11,2000-4000,<1H OCEAN
-121.4,38.62,0-2000,INLAND
-122.14,37.74,0-2000,NEAR BAY
-116.16,33.68,0-2000,INLAND
-121.88,37.34,0-2000,<1H OCEAN
-117.64,33.62,0-2000,<1H OCEAN
-118.32,34.11,2000-4000,<1H OCEAN
-117.91,33.87,0-2000,<1H OCEAN
-118.05,33.99,0-2000,<1H OCEAN
-118.42,34.25,0-2000,<1H OCEAN
-120.77,37.01,0-2000,INLAND
-118.35,34.18,0-2000,<1H OCEAN
-118.3,34.11,0-2000,<1H OCEAN
-117.93,33.87,0-2000,<1H OCEAN
-117.55,34.25,0-2000,INLAND
-122.17,37.74,0-2000,NEAR BAY
-117.61,34.09,0-2000,INLAND
-121.17,38.68,0-2000,INLAND
-122.41,37.61,0-2000,NEAR OCEAN
-118.46,34.3,2000-4000,<1H OCEAN
-122.7,38.35,0-2000,<1H OCEAN
-122.06,37.73,0-2000,NEAR BAY
-121.81,38.45,0-2000,INLAND
-117.65,34.14,0-2000,INLAND
-122.45,37.72,0-2000,NEAR BAY
-121.76,37,0-2000,<1H OCEAN
-122.44,37.66,2000-4000,NEAR OCEAN
-117.93,33.83,0-2000,<1H OCEAN
-118.36,34.19,0-2000,<1H OCEAN
-122.24,37.79,0-2000,NEAR BAY
-116.99,32.8,0-2000,<1H OCEAN
-122.02,36.97,0-2000,NEAR OCEAN
-117.85,33.78,0-2000,<1H OCEAN
-122.2,37.96,2000-4000,NEAR BAY
-122.38,40.56,0-2000,INLAND
-117,32.85,0-2000,<1H OCEAN
-117.1,32.83,0-2000,<1H OCEAN
-118.18,33.78,0-2000,NEAR OCEAN
-117.82,33.73,0-2000,<1H OCEAN
-120.46,34.63,0-2000,NEAR OCEAN
-118.73,36.01,0-2000,INLAND
-119.7,36.83,0-2000,INLAND
-118.32,34.05,0-2000,<1H OCEAN
-119.1,36.4,0-2000,INLAND
-118.22,33.83,0-2000,<1H OCEAN
-118.98,37.65,0-2000,INLAND
-123.02,38.81,0-2000,<1H OCEAN
-122.06,37.38,2000-4000,NEAR BAY
-122.3,37.88,0-2000,NEAR BAY
-121.54,39.6,0-2000,INLAND
-121.53,38.48,10000-12000,INLAND
-118.26,33.95,0-2000,<1H OCEAN
-117.73,34.12,2000-4000,INLAND
-122,37.36,2000-4000,<1H OCEAN
-115.49,32.67,0-2000,INLAND
-118.28,34.09,2000-4000,<1H OCEAN
-118.39,33.86,0-2000,<1H OCEAN
-117.15,34.06,0-2000,INLAND
-122.29,37.94,2000-4000,NEAR BAY
-118.55,34.2,0-2000,<1H OCEAN
-118.15,33.93,0-2000,<1H OCEAN
-121.18,37.99,0-2000,INLAND
-122.24,37.8,0-2000,NEAR BAY
-116.11,33.64,0-2000,INLAND
-118.31,34.02,0-2000,<1H OCEAN
-118.55,33.99,0-2000,NEAR OCEAN
-121.34,38.55,0-2000,INLAND
-121.09,37.33,0-2000,INLAND
-118.13,34.01,2000-4000,<1H OCEAN
-122.26,38.1,0-2000,NEAR BAY
-123.91,41.68,0-2000,<1H OCEAN
-117.91,33.83,2000-4000,<1H OCEAN
-117.28,32.77,0-2000,NEAR OCEAN
-118.24,33.92,0-2000,<1H OCEAN
-118.75,34.17,0-2000,NEAR OCEAN
-119.81,36.28,0-2000,INLAND
-121.4,39.33,0-2000,INLAND
-118.04,34.07,0-2000,<1H OCEAN
-117.71,34.1,2000-4000,INLAND
-118.18,33.88,0-2000,<1H OCEAN
-118.36,33.87,0-2000,<1H OCEAN
-118.05,34.08,4000-6000,<1H OCEAN
-121.36,38,0-2000,INLAND
-117.8,33.74,0-2000,<1H OCEAN
-121.31,37.96,0-2000,INLAND
-117.26,34.53,0-2000,INLAND
-118.31,34.01,0-2000,<1H OCEAN
-117.69,33.64,0-2000,<1H OCEAN
-122.12,39.91,2000-4000,INLAND
-118.07,33.98,2000-4000,<1H OCEAN
-121.79,37.33,0-2000,<1H OCEAN
-118.08,34.14,0-2000,INLAND
-116.97,33.75,2000-4000,INLAND
-121.9,37.45,0-2000,<1H OCEAN
-120.46,37.31,0-2000,INLAND
-122.41,40.53,0-2000,INLAND
-118.42,34.28,0-2000,<1H OCEAN
-122.1,40.05,0-2000,INLAND
-118.06,33.98,0-2000,<1H OCEAN
-121.03,39.14,0-2000,INLAND
-119.71,36.79,0-2000,INLAND
-117.69,34,0-2000,INLAND
-122.01,37.59,0-2000,NEAR BAY
-115.88,32.93,0-2000,INLAND
-121.74,39.15,0-2000,INLAND
-117.3,34.13,0-2000,INLAND
-117.95,33.85,2000-4000,<1H OCEAN
-122.35,37.93,0-2000,NEAR BAY
-120.72,37.38,0-2000,INLAND
-121.09,37.56,0-2000,INLAND
-120.33,37.97,0-2000,INLAND
-117.34,33.94,2000-4000,INLAND
-119.91,34.4,0-2000,NEAR OCEAN
-121.59,39.1,0-2000,INLAND
-119.83,36.79,0-2000,INLAND
-116.92,32.81,0-2000,<1H OCEAN
-121.93,37.27,0-2000,<1H OCEAN
-118.46,34.07,0-2000,<1H OCEAN
-120.98,37.64,0-2000,INLAND
-121.76,37.7,0-2000,INLAND
-122.06,37.67,0-2000,NEAR BAY
-122.77,38.33,0-2000,<1H OCEAN
-117.21,34.12,0-2000,INLAND
-117.66,34.14,0-2000,INLAND
-120.89,37.21,0-2000,INLAND
-120.4,34.85,0-2000,<1H OCEAN
-118.33,33.89,0-2000,<1H OCEAN
-121.89,37.28,2000-4000,<1H OCEAN
-118.35,33.89,2000-4000,<1H OCEAN
-122.66,38.81,0-2000,INLAND
-117.76,33.53,0-2000,<1H OCEAN
-117.9,33.74,0-2000,<1H OCEAN
-118.3,33.88,0-2000,<1H OCEAN
-118.87,35.65,0-2000,INLAND
-119.28,36.35,2000-4000,INLAND
-117.31,32.98,0-2000,NEAR OCEAN
-119.83,34.45,0-2000,NEAR OCEAN
-121.26,37.98,0-2000,INLAND
-122.3,38.3,0-2000,NEAR BAY
-118.34,33.88,0-2000,<1H OCEAN
-117.13,32.8,0-2000,NEAR OCEAN
-117.5,33.92,0-2000,INLAND
-118.2,34.02,2000-4000,<1H OCEAN
-118.28,33.99,0-2000,<1H OCEAN
-121.94,37.83,0-2000,INLAND
-122.19,37.8,0-2000,NEAR BAY
-118.25,33.9,0-2000,<1H OCEAN
-118.25,33.79,0-2000,NEAR OCEAN
-121.06,38.88,2000-4000,INLAND
-122.19,39.53,0-2000,INLAND
-117.2,32.83,0-2000,NEAR OCEAN
-117.86,33.79,2000-4000,<1H OCEAN
-124.01,40.89,0-2000,<1H OCEAN
-120.2,34.61,0-2000,NEAR OCEAN
-120.97,37.63,2000-4000,INLAND
-121.62,37.09,0-2000,<1H OCEAN
-117.17,32.81,0-2000,NEAR OCEAN
-117.09,32.76,0-2000,NEAR OCEAN
-122.24,37.81,0-2000,NEAR BAY
-121.34,38.58,0-2000,INLAND
-118.28,34.03,2000-4000,<1H OCEAN
-121.88,37.41,2000-4000,<1H OCEAN
-117.11,33.15,2000-4000,<1H OCEAN
-118.32,33.98,0-2000,<1H OCEAN
-122.05,37.31,2000-4000,<1H OCEAN
-122.3,38.28,0-2000,NEAR BAY
-121.43,38.62,0-2000,INLAND
-123.23,39.77,0-2000,INLAND
-116.95,33.79,0-2000,INLAND
-121.01,37.7,4000-6000,INLAND
-121.2,38.36,0-2000,INLAND
-118.15,33.92,0-2000,<1H OCEAN
-122.08,37.39,0-2000,NEAR BAY
-121.24,37.96,0-2000,INLAND
-118.02,33.77,0-2000,<1H OCEAN
-121.3,38.14,0-2000,INLAND
-118.27,33.99,0-2000,<1H OCEAN
-119.95,37.47,0-2000,INLAND
-122.04,38.25,0-2000,INLAND
-121.84,37.4,0-2000,<1H OCEAN
-117.91,33.87,0-2000,<1H OCEAN
-117.94,33.88,0-2000,<1H OCEAN
-119.01,35.44,0-2000,INLAND
-121.44,39.5,0-2000,INLAND
-122.25,40.15,0-2000,INLAND
-118.16,33.84,0-2000,<1H OCEAN
-118.3,33.89,0-2000,<1H OCEAN
-117.66,33.46,0-2000,<1H OCEAN
-118.32,34.11,0-2000,<1H OCEAN
-122.68,38.44,0-2000,<1H OCEAN
-121.84,39.73,0-2000,INLAND
-121.26,37.93,2000-4000,INLAND
-118.19,34.05,0-2000,<1H OCEAN
-117.74,34.07,0-2000,INLAND
-121.62,39.15,0-2000,INLAND
-118.92,35.38,0-2000,INLAND
-122.72,38.42,0-2000,<1H OCEAN
-122.01,38.25,0-2000,INLAND
-118.18,33.83,0-2000,NEAR OCEAN
-119.78,34.45,0-2000,NEAR OCEAN
-118.29,34.09,2000-4000,<1H OCEAN
-122.47,37.78,0-2000,NEAR BAY
-122.36,37.94,0-2000,NEAR BAY
-117.68,33.51,0-2000,<1H OCEAN
-117.61,33.42,0-2000,NEAR OCEAN
-121.9,37.67,0-2000,<1H OCEAN
-118.14,33.77,0-2000,NEAR OCEAN
-122.42,37.77,0-2000,NEAR BAY
-118.12,34,2000-4000,<1H OCEAN
-121.43,38.58,0-2000,INLAND
-118.17,33.96,4000-6000,<1H OCEAN
-122.13,37.72,0-2000,NEAR BAY
-118.3,33.97,0-2000,<1H OCEAN
-121.87,37.41,0-2000,<1H OCEAN
-123.36,39.01,0-2000,<1H OCEAN
-122.41,37.8,2000-4000,NEAR BAY
-121.99,36.99,0-2000,NEAR OCEAN
-119.05,35.42,0-2000,INLAND
-116.9,34.25,0-2000,INLAND
-118.35,33.99,0-2000,<1H OCEAN
-122.04,36.95,0-2000,NEAR OCEAN
-122.01,36.95,0-2000,NEAR OCEAN
-122.02,37.95,0-2000,NEAR BAY
-118.05,33.87,2000-4000,<1H OCEAN
-116.93,32.79,0-2000,<1H OCEAN
-117.22,34.12,0-2000,INLAND
-119.83,36.79,2000-4000,INLAND
-118.28,33.96,0-2000,<1H OCEAN
-119.71,36.82,0-2000,INLAND
-118.27,33.96,0-2000,<1H OCEAN
-118.26,33.89,0-2000,<1H OCEAN
-122.48,37.74,0-2000,NEAR OCEAN
-118.08,34.12,0-2000,<1H OCEAN
-118,33.81,0-2000,<1H OCEAN
-118.2,33.98,0-2000,<1H OCEAN
-118.3,34.01,0-2000,<1H OCEAN
-122.44,37.76,0-2000,NEAR BAY
-117.94,33.62,0-2000,<1H OCEAN
-121.48,38.53,0-2000,INLAND
-117.32,34.1,0-2000,INLAND
-122.1,37.89,0-2000,NEAR BAY
-117.97,33.92,0-2000,<1H OCEAN
-118.3,34.06,2000-4000,<1H OCEAN
-117.91,33.72,2000-4000,<1H OCEAN
-118.33,34.04,0-2000,<1H OCEAN
-121.47,38.55,0-2000,INLAND
-117.82,33.68,0-2000,<1H OCEAN
-117.94,33.82,0-2000,<1H OCEAN
-122.28,37.86,0-2000,NEAR BAY
-117.64,33.45,0-2000,NEAR OCEAN
-122.13,39,2000-4000,INLAND
-118.44,34.2,0-2000,<1H OCEAN
-119.58,36.77,0-2000,INLAND
-118.28,33.99,0-2000,<1H OCEAN
-121.4,38.55,0-2000,INLAND
-118.21,33.84,0-2000,<1H OCEAN
-119.01,35.36,0-2000,INLAND
-117.63,34.02,2000-4000,INLAND
-118.18,33.77,0-2000,NEAR OCEAN
-118.32,34.02,0-2000,<1H OCEAN
-121.49,38.53,0-2000,INLAND
-120.39,38,0-2000,INLAND
-118.21,34.05,0-2000,<1H OCEAN
-118.22,33.94,0-2000,<1H OCEAN
-118.19,33.91,0-2000,<1H OCEAN
-118.41,34.01,0-2000,<1H OCEAN
-118.12,34.14,0-2000,<1H OCEAN
-122.34,37.57,0-2000,NEAR OCEAN
-122.53,38.32,0-2000,<1H OCEAN
-121.62,36.43,0-2000,<1H OCEAN
-117.87,33.72,2000-4000,<1H OCEAN
-120.69,35.52,0-2000,<1H OCEAN
-121.87,37.66,0-2000,INLAND
-117.73,33.51,0-2000,<1H OCEAN
-121.99,37.33,0-2000,<1H OCEAN
-122.01,37.06,2000-4000,NEAR OCEAN
-119.64,37.61,0-2000,INLAND
-117.23,32.75,0-2000,NEAR OCEAN
-117.16,32.89,4000-6000,<1H OCEAN
-117.98,33.76,0-2000,<1H OCEAN
-118.07,34.11,0-2000,<1H OCEAN
-122.45,37.78,0-2000,NEAR BAY
-122.22,38.08,0-2000,NEAR BAY
-118.25,34,0-2000,<1H OCEAN
-121.96,36.99,0-2000,NEAR OCEAN
-118.28,34.25,0-2000,<1H OCEAN
-118.38,34.3,0-2000,<1H OCEAN
-118.37,34.08,0-2000,<1H OCEAN
-121.33,38.7,0-2000,INLAND
-118.08,34.14,0-2000,INLAND
-122.26,38.16,0-2000,NEAR BAY
-118.43,34.29,0-2000,<1H OCEAN
-122.44,37.76,0-2000,NEAR BAY
-120.86,37.77,0-2000,INLAND
-117.89,33.82,0-2000,<1H OCEAN
-121.37,38.6,0-2000,INLAND
-118.14,33.95,0-2000,<1H OCEAN
-122.07,37.66,2000-4000,NEAR BAY
-118.56,34.41,6000-8000,<1H OCEAN
-121.88,37.27,2000-4000,<1H OCEAN
-122.2,37.77,0-2000,NEAR BAY
-118.34,34.17,0-2000,<1H OCEAN
-122.43,37.61,4000-6000,NEAR OCEAN
-117.99,33.68,0-2000,<1H OCEAN
-121.91,37.33,0-2000,<1H OCEAN
-118.32,33.88,0-2000,<1H OCEAN
-122.05,37.97,0-2000,NEAR BAY
-122.2,39.75,0-2000,INLAND
-123.85,39.42,0-2000,<1H OCEAN
-118.9,34.2,2000-4000,<1H OCEAN
-120.86,37.6,0-2000,INLAND
-122.26,38.57,0-2000,INLAND
-118.36,33.9,0-2000,<1H OCEAN
-117.57,33.9,2000-4000,INLAND
-119.69,34.43,0-2000,<1H OCEAN
-121.92,36.56,0-2000,NEAR OCEAN
-121.47,38.61,0-2000,INLAND
-118.4,34.1,0-2000,<1H OCEAN
-119.87,36.83,2000-4000,INLAND
-120.42,34.94,0-2000,<1H OCEAN
-121.27,38.05,0-2000,INLAND
-118.15,33.85,0-2000,<1H OCEAN
-122.2,37.9,0-2000,NEAR BAY
-118.16,33.78,0-2000,NEAR OCEAN
-122.38,37.59,0-2000,NEAR OCEAN
-118.2,33.9,0-2000,<1H OCEAN
-118.23,33.91,0-2000,<1H OCEAN
-121.4,38.63,0-2000,INLAND
-121.82,37.81,2000-4000,INLAND
-118.29,34.08,2000-4000,<1H OCEAN
-118.55,34.17,0-2000,<1H OCEAN
-117.85,33.81,0-2000,<1H OCEAN
-117.83,33.81,0-2000,<1H OCEAN
-122.47,37.74,0-2000,NEAR BAY
-120.18,34.75,0-2000,<1H OCEAN
-116.99,33.2,0-2000,<1H OCEAN
-121.76,38.55,6000-8000,INLAND
-118.36,33.86,0-2000,<1H OCEAN
-119.72,36.32,0-2000,INLAND
-117.12,32.59,0-2000,NEAR OCEAN
-122.26,37.54,0-2000,NEAR BAY
-117.58,34.1,2000-4000,INLAND
-122.2,37.47,0-2000,NEAR BAY
-116.9,34.69,0-2000,INLAND
-120.84,38.81,0-2000,INLAND
-117.37,33.97,2000-4000,INLAND
-117.02,32.71,2000-4000,NEAR OCEAN
-118.21,33.92,0-2000,<1H OCEAN
-121.64,40.9,0-2000,INLAND
-117.23,32.86,0-2000,NEAR OCEAN
-122.92,38.97,0-2000,<1H OCEAN
-118.36,34.09,0-2000,<1H OCEAN
-117.9,33.74,0-2000,<1H OCEAN
-121.02,39.27,0-2000,INLAND
-122.19,37.76,0-2000,NEAR BAY
-122.15,37.67,0-2000,NEAR BAY
-119.18,34.16,0-2000,NEAR OCEAN
-122.53,37.93,0-2000,NEAR BAY
-117.67,33.55,0-2000,<1H OCEAN
-119.85,36.82,0-2000,INLAND
-118.57,34.15,2000-4000,<1H OCEAN
-117.88,33.83,0-2000,<1H OCEAN
-118.33,34.1,2000-4000,<1H OCEAN
-117.8,33.75,0-2000,<1H OCEAN
-117.2,34.26,0-2000,INLAND
-117.68,33.65,4000-6000,<1H OCEAN
-119.7,36.82,0-2000,INLAND
-118.37,34.04,0-2000,<1H OCEAN
-121.63,39.18,0-2000,INLAND
-118.97,35.38,0-2000,INLAND
-121.75,39.4,0-2000,INLAND
-122.32,37.55,0-2000,NEAR OCEAN
-117.94,33.93,0-2000,<1H OCEAN
-119.42,36.35,0-2000,INLAND
-122.31,38,0-2000,NEAR BAY
-119.96,38.94,0-2000,INLAND
-117.04,34,2000-4000,INLAND
-117.9,33.71,0-2000,<1H OCEAN
-122.46,37.88,0-2000,NEAR BAY
-118.34,34.19,0-2000,<1H OCEAN
-118.36,34.2,0-2000,<1H OCEAN
-118.18,34.02,0-2000,<1H OCEAN
-119.83,36.8,0-2000,INLAND
-118.13,33.84,0-2000,<1H OCEAN
-122.71,38.43,0-2000,<1H OCEAN
-119.72,34.43,0-2000,<1H OCEAN
-117.88,34.12,0-2000,<1H OCEAN
-117.23,32.74,0-2000,NEAR OCEAN
-122.46,37.66,2000-4000,NEAR OCEAN
-121.96,37.23,0-2000,<1H OCEAN
-117.14,33.16,0-2000,<1H OCEAN
-121.29,37.87,0-2000,INLAND
-116.05,34.12,0-2000,INLAND
-118.3,33.89,0-2000,<1H OCEAN
-122.38,37.58,0-2000,NEAR OCEAN
-122.26,37.83,0-2000,NEAR BAY
-117.46,34.1,0-2000,INLAND
-121.92,37.33,0-2000,<1H OCEAN
-122.07,37.69,0-2000,NEAR BAY
-119.84,36.85,0-2000,INLAND
-116.52,33.81,2000-4000,INLAND
-122.68,38.07,0-2000,NEAR OCEAN
-121.67,36.67,0-2000,<1H OCEAN
-118.21,33.95,0-2000,<1H OCEAN
-121.98,37.28,0-2000,<1H OCEAN
-117.93,33.84,0-2000,<1H OCEAN
-118.78,34.16,12000-14000,NEAR OCEAN
-122.3,37.9,0-2000,NEAR BAY
-119.23,34.42,0-2000,<1H OCEAN
-122.53,41.81,0-2000,INLAND
-122.01,37.39,0-2000,<1H OCEAN
-122.34,37.94,0-2000,NEAR BAY
-121.62,36.71,2000-4000,<1H OCEAN
-118.1,33.84,0-2000,<1H OCEAN
-122.5,37.75,0-2000,NEAR OCEAN
-118.12,34.68,2000-4000,INLAND
-117.31,33.24,0-2000,<1H OCEAN
-120.79,37.08,0-2000,INLAND
-121.87,37.34,0-2000,<1H OCEAN
-117.79,33.77,0-2000,<1H OCEAN
-122.52,37.96,0-2000,NEAR BAY
-118.3,33.87,0-2000,<1H OCEAN
-118.05,34.06,0-2000,<1H OCEAN
-118.21,34.14,0-2000,<1H OCEAN
-117.98,33.78,0-2000,<1H OCEAN
-117.15,34.04,0-2000,INLAND
-118.11,33.81,0-2000,<1H OCEAN
-118.48,34.21,2000-4000,<1H OCEAN
-118.17,33.82,0-2000,NEAR OCEAN
-121.22,38.4,0-2000,INLAND
-118.19,34.12,2000-4000,<1H OCEAN
-117.71,34.08,0-2000,INLAND
-118.08,33.85,0-2000,<1H OCEAN
-118.4,33.87,0-2000,<1H OCEAN
-117.4,34.04,0-2000,INLAND
-123.5,39.67,0-2000,INLAND
-120.67,37.37,0-2000,INLAND
-121.48,38.54,0-2000,INLAND
-122.18,37.45,0-2000,NEAR BAY
-117.01,32.76,0-2000,<1H OCEAN
-118.36,33.93,2000-4000,<1H OCEAN
-122.71,38.34,0-2000,<1H OCEAN
-118.51,34.2,0-2000,<1H OCEAN
-118.56,34.18,0-2000,<1H OCEAN
-122.09,37.35,0-2000,NEAR BAY
-119.01,36.05,0-2000,INLAND
-117.4,34.08,2000-4000,INLAND
-118.41,34.24,0-2000,<1H OCEAN
-117.9,33.74,0-2000,<1H OCEAN
-117.92,34.09,0-2000,<1H OCEAN
-122.28,37.52,0-2000,NEAR OCEAN
-117.22,33.14,2000-4000,NEAR OCEAN
-122.41,37.75,0-2000,NEAR BAY
-122.47,37.76,0-2000,NEAR BAY
-118.24,33.93,0-2000,<1H OCEAN
-118.32,34.04,0-2000,<1H OCEAN
-120.27,37.12,0-2000,INLAND
-121.07,39.15,2000-4000,INLAND
-122.27,37.82,0-2000,NEAR BAY
-120.43,37.35,0-2000,INLAND
-122.47,37.79,0-2000,NEAR BAY
-122.31,37.91,0-2000,NEAR BAY
-118.14,33.76,0-2000,NEAR OCEAN
-121.9,37.37,0-2000,<1H OCEAN
-118.01,33.84,2000-4000,<1H OCEAN
-117.7,33.57,0-2000,<1H OCEAN
-119.94,38.95,0-2000,INLAND
-121.82,37.26,0-2000,<1H OCEAN
-121.24,38.78,0-2000,INLAND
-122.42,37.77,0-2000,NEAR BAY
-122.3,37.9,0-2000,NEAR BAY
-118.15,33.78,0-2000,NEAR OCEAN
-117.88,33.87,0-2000,<1H OCEAN
-118.51,33.98,0-2000,<1H OCEAN
-121.5,38.34,0-2000,INLAND
-117.94,33.81,0-2000,<1H OCEAN
-118.18,33.92,2000-4000,<1H OCEAN
-122.33,40.6,2000-4000,INLAND
-121.42,38.53,0-2000,INLAND
-118.19,33.83,0-2000,NEAR OCEAN
-122.69,38.27,0-2000,<1H OCEAN
-118.3,34.02,2000-4000,<1H OCEAN
-117.77,33.67,0-2000,<1H OCEAN
-117.98,33.9,0-2000,<1H OCEAN
-122.28,37.81,0-2000,NEAR BAY
-118.76,34.26,0-2000,<1H OCEAN
-117.94,33.89,0-2000,<1H OCEAN
-121.27,38.75,0-2000,INLAND
-119.31,36.34,2000-4000,INLAND
-117.11,32.73,0-2000,NEAR OCEAN
-118.17,34.05,0-2000,<1H OCEAN
-120.41,36.77,0-2000,INLAND
-118.04,34.1,0-2000,INLAND
-117.87,33.99,2000-4000,<1H OCEAN
-118.19,33.8,0-2000,NEAR OCEAN
-120.19,36.61,0-2000,INLAND
-122.42,37.74,0-2000,NEAR BAY
-117.65,33.48,0-2000,<1H OCEAN
-122.03,37.55,4000-6000,NEAR BAY
-117.98,33.94,2000-4000,<1H OCEAN
-122.41,37.76,2000-4000,NEAR BAY
-118.06,34.12,0-2000,INLAND
-122.08,37.04,0-2000,NEAR OCEAN
-118.41,34.02,2000-4000,<1H OCEAN
-121.46,38.66,0-2000,INLAND
-121.1,39.15,0-2000,INLAND
-118.32,33.83,2000-4000,<1H OCEAN
-117.78,33.71,0-2000,<1H OCEAN
-119.71,36.8,0-2000,INLAND
-121.92,37.31,2000-4000,<1H OCEAN
-121.28,38.7,2000-4000,INLAND
-121.82,39.75,0-2000,INLAND
-118.37,34.08,0-2000,<1H OCEAN
-118.34,33.99,0-2000,<1H OCEAN
-121.24,37.98,0-2000,INLAND
-122.31,38.27,0-2000,NEAR BAY
-122.01,37.38,0-2000,<1H OCEAN
-118.34,34.16,0-2000,<1H OCEAN
-120.88,38.16,0-2000,INLAND
-117.77,33.71,0-2000,<1H OCEAN
-118.13,33.96,0-2000,<1H OCEAN
-117.05,33.02,0-2000,<1H OCEAN
-118.41,33.9,0-2000,<1H OCEAN
-122.06,37.39,0-2000,NEAR BAY
-122.3,37.97,0-2000,NEAR BAY
-121.81,39.71,0-2000,INLAND
-118.35,34.09,0-2000,<1H OCEAN
-117.02,33.76,0-2000,INLAND
-121.68,36.67,2000-4000,<1H OCEAN
-118.43,34.22,0-2000,<1H OCEAN
-117.15,34.83,2000-4000,INLAND
-121.89,37.35,2000-4000,<1H OCEAN
-118.29,33.98,0-2000,<1H OCEAN
-122.23,37.82,0-2000,NEAR BAY
-120.83,37.07,0-2000,INLAND
-118.04,34.09,0-2000,INLAND
-118.21,34.09,0-2000,<1H OCEAN
-117.88,33.79,0-2000,<1H OCEAN
-120.98,39.93,0-2000,INLAND
-115.57,32.79,0-2000,INLAND
-121.51,38.49,0-2000,INLAND
-120.04,39.24,0-2000,INLAND
-122.29,37.54,0-2000,NEAR OCEAN
-118.28,33.92,0-2000,<1H OCEAN
-121.8,39.75,2000-4000,INLAND
-119.38,36.56,0-2000,INLAND
-120.99,37.68,0-2000,INLAND
-121.75,37.68,0-2000,INLAND
-118.98,35.39,0-2000,INLAND
-117.07,32.67,2000-4000,NEAR OCEAN
-118.28,34.01,2000-4000,<1H OCEAN
-117.2,34.14,0-2000,INLAND
-119.32,36.25,0-2000,INLAND
-121.51,38.55,0-2000,INLAND
-114.56,33.69,0-2000,INLAND
-118.36,34.05,0-2000,<1H OCEAN
-121.75,36.93,2000-4000,<1H OCEAN
-118.18,33.83,0-2000,NEAR OCEAN
-118.16,34.03,0-2000,<1H OCEAN
-118.65,34.27,0-2000,<1H OCEAN
-118.29,34.11,0-2000,<1H OCEAN
-117.3,34.05,2000-4000,INLAND
-121.21,38.67,2000-4000,INLAND
-118.3,33.81,2000-4000,<1H OCEAN
-118.35,34.01,0-2000,<1H OCEAN
-117.13,32.71,0-2000,NEAR OCEAN
-118.34,34.03,0-2000,<1H OCEAN
-121.9,37.28,2000-4000,<1H OCEAN
-118.5,34.21,0-2000,<1H OCEAN
-118.36,34.03,2000-4000,<1H OCEAN
-118.34,33.99,0-2000,<1H OCEAN
-122.07,38.26,0-2000,INLAND
-121.95,38.43,0-2000,INLAND
-123.2,39.16,0-2000,<1H OCEAN
-117.92,33.85,0-2000,<1H OCEAN
-117.23,33.78,2000-4000,INLAND
-121.76,38.25,0-2000,INLAND
-122.02,37.34,0-2000,<1H OCEAN
-119.81,36.81,0-2000,INLAND
-122.49,37.76,0-2000,NEAR BAY
-118.11,33.83,0-2000,<1H OCEAN
-122.95,39.13,0-2000,INLAND
-121.37,38.39,0-2000,INLAND
-118.18,34.08,0-2000,<1H OCEAN
-118.42,34.16,0-2000,<1H OCEAN
-118.27,34.05,0-2000,<1H OCEAN
-122.5,37.79,0-2000,NEAR BAY
-116.29,33.74,4000-6000,INLAND
-122.33,37.58,2000-4000,NEAR OCEAN
-118.36,34.05,0-2000,<1H OCEAN
-117.75,34.06,0-2000,INLAND
-122.2,37.43,0-2000,NEAR OCEAN
-117.68,34.01,4000-6000,INLAND
-118.26,33.92,0-2000,<1H OCEAN
-117.36,33.17,0-2000,NEAR OCEAN
-122.43,37.75,0-2000,NEAR BAY
-121.63,39.75,0-2000,INLAND
-117.15,32.81,0-2000,NEAR OCEAN
-117.67,34.03,4000-6000,INLAND
-117.32,33.99,2000-4000,INLAND
-118.32,34.09,2000-4000,<1H OCEAN
-118.43,34.22,0-2000,<1H OCEAN
-122.47,37.65,4000-6000,NEAR OCEAN
-118.22,33.93,2000-4000,<1H OCEAN
-118.39,34.17,0-2000,<1H OCEAN
-118.09,33.8,0-2000,<1H OCEAN
-118.06,33.83,0-2000,<1H OCEAN
-122.13,37.68,0-2000,NEAR BAY
-122.29,37.92,0-2000,NEAR BAY
-117.77,34.06,2000-4000,INLAND
-117.3,33.85,2000-4000,INLAND
-118.45,34.25,0-2000,<1H OCEAN
